#Types Before Cut: 34614
#Types After Cut: 9661
#Search Hits: 0
242	22	11.084	допустим
243	22	11.084	зачем
244	88	11.081	люди
245	10	11.038	вкус
246	10	11.038	восемьдесят
247	10	11.038	дед
248	10	11.038	дедушка
249	10	11.038	ехать
250	10	11.038	забыл
251	10	11.038	иии
252	10	11.038	картинка
253	10	11.038	кашель
254	10	11.038	нуу
255	10	11.038	озеро
256	10	11.038	пол
257	10	11.038	прикольно
258	10	11.038	своё
259	10	11.038	слушай
260	10	11.038	смешок
261	10	11.038	собака
262	10	11.038	ушёл
263	15	10.792	домой
264	15	10.792	минуты
265	15	10.792	утра
266	24	10.387	другому
267	190	10.360	где
268	18	10.296	получилось
269	18	10.296	школа
270	18	10.296	языке
271	45	10.249	куда
272	21	10.242	дом
273	21	10.242	фильм
274	69	10.159	сколько
275	9	9.935	n
276	9	9.935	ар
277	9	9.935	грустный
278	9	9.935	двенадцать
279	9	9.935	двести
280	9	9.935	кошки
281	9	9.935	папа
282	9	9.935	переехали
283	9	9.935	подожди
284	9	9.935	смесь
285	9	9.935	танцами
286	9	9.935	твой
287	9	9.935	учителя
288	9	9.935	чай
289	9	9.935	эмм
290	14	9.821	концерт
291	14	9.821	учились
292	33	9.677	татьяна
293	28	9.512	далее
294	35	9.488	жизнь
295	20	9.411	давайте
296	17	9.409	пожалуйста
297	80	9.185	себе
298	25	9.139	дочка
299	87	9.069	здесь
300	32	9.013	принципе
301	164	9.010	три
302	13	8.860	делаю
303	13	8.860	купил
304	13	8.860	любят
305	13	8.860	поговорить
306	8	8.831	acc
307	8	8.831	komm
308	8	8.831	nom
309	8	8.831	ааa
310	8	8.831	английский
311	8	8.831	брови
312	8	8.831	вертолет
313	8	8.831	говорящийа
314	8	8.831	говорящийб
315	8	8.831	грустно
316	8	8.831	егэ
317	8	8.831	звук
318	8	8.831	иду
319	8	8.831	интересного
320	8	8.831	колесико
321	8	8.831	любишь
322	8	8.831	лёва
323	8	8.831	мамой
324	8	8.831	мемы
325	8	8.831	моих
326	8	8.831	надя
327	8	8.831	неудобно
328	8	8.831	никит
329	8	8.831	одиннадцать
330	8	8.831	прихожу
331	8	8.831	смотрел
332	8	8.831	смотрела
333	8	8.831	студентов
334	8	8.831	типо
335	8	8.831	умер
336	8	8.831	учился
337	8	8.831	учится
338	8	8.831	хе
339	8	8.831	эт
340	64	8.686	делать
341	385	8.608	же
342	16	8.534	собственно
343	24	8.407	младший
344	57	8.072	жизни
345	21	8.058	моей
346	53	7.994	голос
347	41	7.948	таки
348	12	7.911	давали
349	12	7.911	знала
350	12	7.911	квартире
351	12	7.911	круто
352	12	7.911	расскажу
353	7	7.727	бабушкой
354	7	7.727	боже
355	7	7.727	буквы
356	7	7.727	двери
357	7	7.727	детство
358	7	7.727	детьми
359	7	7.727	друзьями
360	7	7.727	ехали
361	7	7.727	живёт
362	7	7.727	забыла
363	7	7.727	задание
364	7	7.727	карл
365	7	7.727	квартиры
366	7	7.727	красивый
367	7	7.727	ненавижу
368	7	7.727	нету
369	7	7.727	одни
370	7	7.727	парень
371	7	7.727	понравилась
372	7	7.727	пытаюсь
373	7	7.727	ребят
374	7	7.727	секунд
375	7	7.727	сорок
376	7	7.727	супер
377	7	7.727	троих
378	7	7.727	троллейбус
379	7	7.727	человечек
380	7	7.727	читаю
381	7	7.727	чё
382	30	7.724	хотела
383	23	7.689	понимаю
384	15	7.673	какими
385	15	7.673	маленький
386	15	7.673	привет
387	25	7.426	н
388	38	7.422	смысле
389	20	7.311	читать
390	532	7.160	уже
391	29	7.100	жить
392	29	7.100	хоть
393	31	7.004	часов
394	17	7.003	d
395	17	7.003	вещи
396	17	7.003	мои
397	11	6.974	интересные
398	11	6.974	классно
399	11	6.974	понимаешь
400	11	6.974	рассказывала
401	43	6.888	обычно
402	24	6.760	тему
403	6	6.623	distinct
404	6	6.623	onion
405	6	6.623	part
406	6	6.623	автобус
407	6	6.623	антифриз
408	6	6.623	бабуля
409	6	6.623	бабушки
410	6	6.623	бешбармак
411	6	6.623	бутово
412	6	6.623	вау
413	6	6.623	верно
414	6	6.623	волосы
415	6	6.623	восемнадцать
416	6	6.623	выпускной
417	6	6.623	вышла
418	6	6.623	гончар
419	6	6.623	готовился
420	6	6.623	жигули
421	6	6.623	загрузили
422	6	6.623	запомнила
423	6	6.623	играли
424	6	6.623	идёт
425	6	6.623	колесо
426	6	6.623	коллектив
427	6	6.623	кормила
428	6	6.623	красиво
429	6	6.623	культура
430	6	6.623	лагере
431	6	6.623	лингвистике
432	6	6.623	литературу
433	6	6.623	лук
434	6	6.623	любил
435	6	6.623	любимый
436	6	6.623	математике
437	6	6.623	мгм
438	6	6.623	мем
439	6	6.623	молодец
440	6	6.623	немец
441	6	6.623	ногой
442	6	6.623	обед
443	6	6.623	орешки
444	6	6.623	погрей
445	6	6.623	подумала
446	6	6.623	покупайте
447	6	6.623	полу
448	6	6.623	польский
449	6	6.623	понравился
450	6	6.623	поступил
451	6	6.623	преподаватели
452	6	6.623	причём
453	6	6.623	пятёрка
454	6	6.623	саш
455	6	6.623	семьдесят
456	6	6.623	слышно
457	6	6.623	снимали
458	6	6.623	снимать
459	6	6.623	спал
460	6	6.623	спрашивают
461	6	6.623	спросить
462	6	6.623	студенты
463	6	6.623	сынок
464	6	6.623	убирай
465	6	6.623	учителей
466	6	6.623	учителем
467	6	6.623	худи
468	6	6.623	шёл
469	6	6.623	щас
470	6	6.623	этаж
471	6	6.623	эх
472	19	6.581	ж
473	28	6.491	друг
474	42	6.389	моя
475	40	6.362	самое
476	21	6.301	видео
477	21	6.301	девять
478	16	6.233	бывает
479	16	6.233	говорила
480	16	6.233	семья
481	16	6.233	смотреть
482	16	6.233	честно
483	10	6.052	брали
484	10	6.052	видишь
485	10	6.052	друзей
486	10	6.052	едем
487	10	6.052	женщина
488	10	6.052	институте
489	10	6.052	маленькая
490	10	6.052	мое
491	10	6.052	нечего
492	10	6.052	смеется
493	10	6.052	твоя
494	91	6.026	всегда
495	13	6.000	знаете
496	13	6.000	отец
497	13	6.000	пошел
498	27	5.898	язык
499	18	5.868	хотелось
500	268	5.855	даже
501	31	5.818	долго
502	31	5.818	какую
503	59	5.725	две
504	48	5.670	старший
505	5	5.519	num
506	5	5.519	арахис
507	5	5.519	бабушку
508	5	5.519	баллов
509	5	5.519	венера
510	5	5.519	вернее
511	5	5.519	видела
512	5	5.519	вкусный
513	5	5.519	вложил
514	5	5.519	вырезать
515	5	5.519	выставках
516	5	5.519	вышло
517	5	5.519	гешу
518	5	5.519	голову
519	5	5.519	горбачёв
520	5	5.519	грязь
521	5	5.519	гэкаю
522	5	5.519	двадцати
523	5	5.519	делаем
524	5	5.519	доехали
525	5	5.519	ездила
526	5	5.519	ездит
527	5	5.519	ест
528	5	5.519	жестко
529	5	5.519	жесть
530	5	5.519	жила
531	5	5.519	зашли
532	5	5.519	идешь
533	5	5.519	ильямихайлович
534	5	5.519	имею
535	5	5.519	инопланетян
536	5	5.519	итак
537	5	5.519	камеру
538	5	5.519	каракатицах
539	5	5.519	картинки
540	5	5.519	кили
541	5	5.519	комнате
542	5	5.519	коридоре
543	5	5.519	красивые
544	5	5.519	крестик
545	5	5.519	крысу
546	5	5.519	лекцию
547	5	5.519	лилии
548	5	5.519	лингвисты
549	5	5.519	лол
550	5	5.519	лука
551	5	5.519	маккартни
552	5	5.519	маме
553	5	5.519	маму
554	5	5.519	марс
555	5	5.519	математический
556	5	5.519	меровинги
557	5	5.519	мечты
558	5	5.519	миндаль
559	5	5.519	мол
560	5	5.519	нагло
561	5	5.519	най
562	5	5.519	ненавидят
563	5	5.519	ого
564	5	5.519	одновременнно
565	5	5.519	ок
566	5	5.519	очки
567	5	5.519	пальто
568	5	5.519	парадигма
569	5	5.519	переехать
570	5	5.519	писать
571	5	5.519	платье
572	5	5.519	подписывайтесь
573	5	5.519	поехала
574	5	5.519	получалось
575	5	5.519	посмотрела
576	5	5.519	построили
577	5	5.519	прекрасный
578	5	5.519	проронил
579	5	5.519	прочим
580	5	5.519	прошёл
581	5	5.519	пью
582	5	5.519	пятом
583	5	5.519	расписание
584	5	5.519	ребёнок
585	5	5.519	рентген
586	5	5.519	родителям
587	5	5.519	салют
588	5	5.519	своём
589	5	5.519	села
590	5	5.519	сестра
591	5	5.519	сидела
592	5	5.519	сидит
593	5	5.519	скайп
594	5	5.519	снимаешь
595	5	5.519	сходить
596	5	5.519	счёт
597	5	5.519	съела
